g,1,0,-29350.0,12.6
g,1,1,-1410.3,10.0
h,1,1,4545.5,-21.5
g,2,0,-2556.2,-11.2
g,2,1,2950.9,-5.3
h,2,1,-3133.6,-27.3
g,2,2,1648.7,-8.3
h,2,2,-814.2,-11.1
g,3,0,1360.9,-1.5
g,3,1,-2404.2,-4.4
h,3,1,-56.9,3.8
g,3,2,1243.8,0.4
h,3,2,237.6,-0.2
g,3,3,453.4,-15.6
h,3,3,-549.6,-3.9
g,4,0,894.7,-1.7
g,4,1,799.6,-2.3
h,4,1,278.6,-1.3
g,4,2,55.8,-5.8
h,4,2,-134.0,4.1
g,4,3,-281.1,5.4
h,4,3,212.0,1.6
g,4,4,12.0,-6.8
h,4,4,-375.4,-4.1
g,5,0,-232.9,0.6
g,5,1,369.0,1.3
h,5,1,45.3,-0.5
g,5,2,187.2,0.0
h,5,2,220.0,2.1
g,5,3,-138.7,0.7
h,5,3,-122.9,0.5
g,5,4,-141.9,2.3
h,5,4,42.9,1.7
g,5,5,20.9,1.0
h,5,5,106.2,1.9
g,6,0,64.3,-0.2
g,6,1,63.8,-0.3
h,6,1,-18.4,0.3
g,6,2,76.7,0.8
h,6,2,16.8,-1.6
g,6,3,-115.7,1.2
h,6,3,48.9,-0.4
g,6,4,-40.9,-0.8
h,6,4,-59.8,0.8
g,6,5,14.9,0.4
h,6,5,10.9,0.7
g,6,6,-60.8,0.9
h,6,6,72.8,0.9
g,7,0,79.6,-0.1
g,7,1,-76.9,-0.1
h,7,1,-48.9,0.6
g,7,2,-8.8,-0.1
h,7,2,-14.4,0.5
g,7,3,59.3,0.5
h,7,3,-1.0,-0.7
g,7,4,15.8,-0.1
h,7,4,23.5,0.0
g,7,5,2.5,-0.8
h,7,5,-7.4,-0.9
g,7,6,-11.2,-0.8
h,7,6,-25.1,0.5
g,7,7,14.3,0.9
h,7,7,-2.2,-0.3
g,8,0,23.1,-0.1
g,8,1,10.9,0.2
h,8,1,7.2,-0.3
g,8,2,-17.5,0.0
h,8,2,-12.6,0.4
g,8,3,2.0,0.4
h,8,3,11.5,-0.3
g,8,4,-21.8,-0.1
h,8,4,-9.7,0.4
g,8,5,16.9,0.3
h,8,5,12.7,-0.5
g,8,6,14.9,0.1
h,8,6,0.7,-0.6
g,8,7,-16.8,0.0
h,8,7,-5.2,0.3
g,8,8,1.0,0.3
h,8,8,3.9,0.2
g,9,0,4.7,0.0
g,9,1,8.0,0.0
h,9,1,-24.8,0.0
g,9,2,3.0,0.0
h,9,2,12.1,0.0
g,9,3,-0.2,0.0
h,9,3,8.3,0.0
g,9,4,-2.5,0.0
h,9,4,-3.4,0.0
g,9,5,-13.1,0.0
h,9,5,-5.3,0.0
g,9,6,2.4,0.0
h,9,6,7.2,0.0
g,9,7,8.6,0.0
h,9,7,-0.6,0.0
g,9,8,-8.7,0.0
h,9,8,0.8,0.0
g,9,9,-12.8,0.0
h,9,9,9.8,0.0
g,10,0,-1.3,0.0
g,10,1,-6.4,0.0
h,10,1,3.3,0.0
g,10,2,0.2,0.0
h,10,2,0.1,0.0
g,10,3,2.0,0.0
h,10,3,2.5,0.0
g,10,4,-1.0,0.0
h,10,4,5.4,0.0
g,10,5,-0.5,0.0
h,10,5,-9.0,0.0
g,10,6,-0.9,0.0
h,10,6,0.4,0.0
g,10,7,1.5,0.0
h,10,7,-4.2,0.0
g,10,8,0.9,0.0
h,10,8,-3.8,0.0
g,10,9,-2.6,0.0
h,10,9,0.9,0.0
g,10,10,-3.9,0.0
h,10,10,-9.0,0.0
g,11,0,3.0,0.0
g,11,1,-1.4,0.0
h,11,1,0.0,0.0
g,11,2,-2.5,0.0
h,11,2,2.8,0.0
g,11,3,2.4,0.0
h,11,3,-0.6,0.0
g,11,4,-0.6,0.0
h,11,4,0.1,0.0
g,11,5,0.0,0.0
h,11,5,0.5,0.0
g,11,6,-0.6,0.0
h,11,6,-0.3,0.0
g,11,7,-0.1,0.0
h,11,7,-1.2,0.0
g,11,8,1.1,0.0
h,11,8,-1.7,0.0
g,11,9,-1.0,0.0
h,11,9,-2.9,0.0
g,11,10,-0.1,0.0
h,11,10,-1.8,0.0
g,11,11,2.6,0.0
h,11,11,-2.3,0.0
g,12,0,-2.0,0.0
g,12,1,-0.1,0.0
h,12,1,-1.2,0.0
g,12,2,0.4,0.0
h,12,2,0.6,0.0
g,12,3,1.2,0.0
h,12,3,1.0,0.0
g,12,4,-1.2,0.0
h,12,4,-1.5,0.0
g,12,5,0.6,0.0
h,12,5,0.0,0.0
g,12,6,0.5,0.0
h,12,6,0.6,0.0
g,12,7,0.5,0.0
h,12,7,-0.2,0.0
g,12,8,-0.1,0.0
h,12,8,0.8,0.0
g,12,9,-0.5,0.0
h,12,9,0.1,0.0
g,12,10,-0.2,0.0
h,12,10,-0.9,0.0
g,12,11,-1.2,0.0
h,12,11,0.1,0.0
g,12,12,-0.7,0.0
h,12,12,0.2,0.0
g,13,0,0.2,0.0
g,13,1,-0.9,0.0
h,13,1,-0.9,0.0
g,13,2,0.6,0.0
h,13,2,0.7,0.0
g,13,3,0.7,0.0
h,13,3,1.2,0.0
g,13,4,-0.2,0.0
h,13,4,-0.3,0.0
g,13,5,0.5,0.0
h,13,5,-1.3,0.0
g,13,6,0.1,0.0
h,13,6,-0.1,0.0
g,13,7,0.7,0.0
h,13,7,0.2,0.0
g,13,8,0.0,0.0
h,13,8,-0.2,0.0
g,13,9,0.3,0.0
h,13,9,0.5,0.0
g,13,10,0.2,0.0
h,13,10,0.6,0.0
g,13,11,0.4,0.0
h,13,11,-0.6,0.0
g,13,12,-0.5,0.0
h,13,12,-0.3,0.0
g,13,13,-0.4,0.0
h,13,13,-0.5,0.0
